	name	platform	year_of_release	genre	na_sales	eu_sales	jp_sales	other_sales	critic_score	user_score	rating_esrb	sum_sales
0	Wii Sports	Wii	2006.0	Sports	41.36	28.96	3.77	8.45	76.0	8.0	E	82.53999999999999
1	Super Mario Bros.	NES	1985.0	Platform	29.08	3.58	6.81	0.77			ND	40.24
2	Mario Kart Wii	Wii	2008.0	Racing	15.68	12.76	3.79	3.29	82.0	8.3	E	35.519999999999996
3	Wii Sports Resort	Wii	2009.0	Sports	15.61	10.93	3.28	2.95	80.0	8.0	E	32.77
4	Pokemon Red/Pokemon Blue	GB	1996.0	Role-Playing	11.27	8.89	10.22	1.0			ND	31.380000000000003
5	Tetris	GB	1989.0	Puzzle	23.2	2.26	4.22	0.58			ND	30.259999999999998
6	New Super Mario Bros.	DS	2006.0	Platform	11.28	9.14	6.5	2.88	89.0	8.5	E	29.8
7	Wii Play	Wii	2006.0	Misc	13.96	9.18	2.93	2.84	58.0	6.6	E	28.91
8	New Super Mario Bros. Wii	Wii	2009.0	Platform	14.44	6.94	4.7	2.24	87.0	8.4	E	28.32
9	Duck Hunt	NES	1984.0	Shooter	26.93	0.63	0.28	0.47			ND	28.31
10	Nintendogs	DS	2005.0	Simulation	9.05	10.95	1.93	2.74			ND	24.67
11	Mario Kart DS	DS	2005.0	Racing	9.71	7.47	4.13	1.9	91.0	8.6	E	23.209999999999997
12	Pokemon Gold/Pokemon Silver	GB	1999.0	Role-Playing	9.0	6.18	7.2	0.71			ND	23.09
13	Wii Fit	Wii	2007.0	Sports	8.92	8.03	3.6	2.15	80.0	7.7	E	22.7
14	Kinect Adventures!	X360	2010.0	Misc	15.0	4.89	0.24	1.69	61.0	6.3	E	21.82
15	Wii Fit Plus	Wii	2009.0	Sports	9.01	8.49	2.53	1.77	80.0	7.4	E	21.8
16	Grand Theft Auto V	PS3	2013.0	Action	7.02	9.09	0.98	3.96	97.0	8.2	M	21.05
17	Grand Theft Auto: San Andreas	PS2	2004.0	Action	9.43	0.4	0.41	10.57	95.0	9.0	M	20.810000000000002
18	Super Mario World	SNES	1990.0	Platform	12.78	3.75	3.54	0.55			ND	20.62
19	Brain Age: Train Your Brain in Minutes a Day	DS	2005.0	Misc	4.74	9.2	4.16	2.04	77.0	7.9	E	20.14
20	Pokemon Diamond/Pokemon Pearl	DS	2006.0	Role-Playing	6.38	4.46	6.04	1.36			ND	18.24
21	Super Mario Land	GB	1989.0	Platform	10.83	2.71	4.18	0.42			ND	18.14
22	Super Mario Bros. 3	NES	1988.0	Platform	9.54	3.44	3.84	0.46			ND	17.28
23	Grand Theft Auto V	X360	2013.0	Action	9.66	5.14	0.06	1.41	97.0	8.1	M	16.27
24	Grand Theft Auto: Vice City	PS2	2002.0	Action	8.41	5.49	0.47	1.78	95.0	8.7	M	16.150000000000002
25	Pokemon Ruby/Pokemon Sapphire	GBA	2002.0	Role-Playing	6.06	3.9	5.38	0.5			ND	15.84
26	Brain Age 2: More Training in Minutes a Day	DS	2005.0	Puzzle	3.43	5.35	5.32	1.18	77.0	7.1	E	15.28
27	Pokemon Black/Pokemon White	DS	2010.0	Role-Playing	5.51	3.17	5.65	0.8			ND	15.13
28	Gran Turismo 3: A-Spec	PS2	2001.0	Racing	6.85	5.09	1.87	1.16	95.0	8.4	E	14.969999999999999
29	Call of Duty: Modern Warfare 3	X360	2011.0	Shooter	9.04	4.24	0.13	1.32	88.0	3.4	M	14.73
30	Pokémon Yellow: Special Pikachu Edition	GB	1998.0	Role-Playing	5.89	5.04	3.12	0.59			ND	14.64
31	Call of Duty: Black Ops 3	PS4	2015.0	Shooter	6.03	5.86	0.36	2.38			ND	14.629999999999999
32	Call of Duty: Black Ops	X360	2010.0	Shooter	9.7	3.68	0.11	1.13	87.0	6.3	M	14.619999999999997
33	Pokemon X/Pokemon Y	3DS	2013.0	Role-Playing	5.28	4.19	4.35	0.78			ND	14.6
34	Call of Duty: Black Ops II	PS3	2012.0	Shooter	4.99	5.73	0.65	2.42	83.0	5.3	M	13.790000000000001
35	Call of Duty: Black Ops II	X360	2012.0	Shooter	8.25	4.24	0.07	1.12	83.0	4.8	M	13.68
36	Call of Duty: Modern Warfare 2	X360	2009.0	Shooter	8.52	3.59	0.08	1.28	94.0	6.3	M	13.469999999999999
37	Call of Duty: Modern Warfare 3	PS3	2011.0	Shooter	5.54	5.73	0.49	1.57	88.0	3.2	M	13.33
38	Grand Theft Auto III	PS2	2001.0	Action	6.99	4.51	0.3	1.3	97.0	8.5	M	13.100000000000001
